Time;UxTime;Temperature;Uxtemperature
120;1;600;1
60;1;600;1
60;1;612;1
120;1;612;1
120;1;612;1
60;1;612;1
60;1;620;1
30;1;620;1
15;1;620;1
60;1;620;1
45.1;1;620;1
90;1;620;1
150;1;620;1
60;1;620;1
60;1;620;1
60;1;620;1
30;1;620;1
90;1;620;1
150;1;620;1
90.4;1;620;1
120;1;620;1
60;1;620;1
60;1;620;1
60;1;620;1
60;1;620;1
60;1;620;1
60;1;620;1
30;1;631;1
45.1;1;631;1
30;1;631;1
30;1;631;1
45;1;631;1
15;1;639;1
30;1;639;1
90;1;639;1
25;1;639;1
60.1;1;639;1
60;1;639;1
30;1;639;1
30;1;639;1
60;1;639;1
