Y;uY
0.9;1.
0.886;1.
.791;1.
.787;1.
.877;1.
.938;1.
.827;1.
.696;1.
.582;1.
.795;1.
.790;1.
.883;1.
.576;1.
.715;1.
.673;1.
.802;1.
.804;1.
.804;1.
.764;1.
.688;1.
.802;1.
.695;1.
.808;1.
.309;1.
.689;1.
.437;1.
.425;1.
.659;1.
.449;1.

